"email_address"	"active_send"	"active_receive"
"BMOVUVJLNM@MLQBR.com"	1	0
"UBGZTNAKZXJE@BBKLDL.com"	1	0
"WCEBTSCTIJ@HZEKW.com"	1	0
"QNEBDEgarden@gmail.com"	0	1
"BUXLVUDIMSHI@TNFGQ.com"	1	0
"QQIQCWOMXDQL@TEZGA.com"	0	1
"YAQXDBNKWJ@EOKQY.com"	1	0
"outdoorYEUL@shop.magento.com"	0	0
"IVMSMKEWOVB@TAFHG.com"	1	1
"BNKJWGCMQM@HMKJVAC.com"	0	0
"AGKELMGGDDAR@MTCMGOMK.com"	1	0
"KAMLMCKCEDNT@VDYCDP.com"	1	1
"TMSDOINHCOJI@DRGSYTNO.com"	1	0
"AFTITJXCSAG@TJINRS.com"	1	0
"GCLXHPHBMY@JKZQFFXB.com"	0	1
"BXNMsupply@myshopify.com"	0	1
"QTFUNLXXAX@UKRUJ.com"	1	1
"ILFTIBHDYWC@ZYCATS.com"	1	0
"IMZBKTDOOW@PPUYKJV.com"	0	0
"KEANORPETF@YZDPXD.com"	0	1
"XQJDHPSJXQR@ZNPUAL.com"	1	1
"RZO.RZO@yahoo.com"	1	0
"CKMPKXTBPSKC@UEKUVQZZ.com"	1	1
"LMMAOHBBHTS@KAMOZW.com"	1	0
"WIWMMISFFLCR@JZUNT.com"	1	0
"BOWYVFBPYQMH@XSNBOEBO.com"	1	0
"XSTRLDRCJT@VYPPRFV.com"	0	0
"OOPSFVNFTNSD@VYYUZ.com"	1	1
"DXTBATOASX@DLTTG.com"	0	1
"RDYDCHYXVB@RCPSNKQX.com"	1	1
"UQFAGQEASFQC@MCRGOC.com"	1	0
"NEJBSPKFULP@FCIQN.com"	1	1
"YLRDOCFDTT@IGNFBYP.com"	1	1
"GSVZCTWHHHZ@YXGKI.com"	1	0
"YVMRKXAPXIC@URTAG.com"	1	1
"LJGHWLHTVAK@EIYPGRW.com"	1	1
"DFHKCYDZZLDH@OVTJRH.com"	1	1
"QTJRYHQJQY@MJGUNOLF.com"	1	0
"NVYVZAFECK@KTUOFKDS.com"	0	1
"ELGZAJIXVNFS@MEZZT.com"	0	1
"OEASCMXNDV@BIRJWZR.com"	1	1
"HWI@comcast.net"	1	0
"AZUPQJPVDUB@HUKTED.com"	1	0
"QXBQWCJYTSO@EXDIH.com"	1	0
"GFLEIVKETJCE@NXOFWABH.com"	1	1
"AHXEWFME354@yahoo.com"	1	0
"KKRYCXUCWM@SMVTVU.com"	1	1
"LZPHRXUKII@MZVLQSYQ.com"	0	0
"MNFWILPVLIYO@AHLBMX.com"	1	1
"ICFAOXGQAM@RMHPOTV.com"	1	1
"CQPPFUTGNJ@OMKTKXU.com"	1	1
"ZZFAFDMCRCQA@JMNCZ.com"	1	1
"NYDUCAVCXNQ@RBFWPNF.com"	1	0
"JBZAVZVMPP@MRMEVWUK.com"	0	0
"YYFZNYVLSSL@PRIQLWAP.com"	1	0
"QPGSHSXPXEPD@YDLDW.com"	1	1
"UAIVTOPMZQG@QPUTCINY.com"	1	1
"DXYJYSTADSUR@CKJQPRIA.com"	1	1
"RQBFVYLIPRYO@LDFMVX.com"	1	1
"XGCIMNSPXYMG@EPBERFXK.com"	1	0
"XPAXBSDXJY@PUCCOMR.com"	0	1
"ZUTDPQLUBLP@TZBGLW.com"	1	1
"VGLLsupply@gmail.com"	0	1
"BSHMFPUVIRTV@FJRCA.com"	0	0
"OMGXWRZYHDQ@KCUAT.com"	1	0
"CDUUVQPRZO@GBJGAA.com"	1	0
"PHKDVKBDYF@QRPZO.com"	1	1
"AQNXYCNFKFBV@HVVRNLRG.com"	1	1
"XFRONBAWYPQ@YBOTBPE.com"	1	1
"NZJDBVPNBU@PHRPXIIP.com"	1	1
"OCUCFZHJIU@QZQNYLJ.com"	1	0
"PCVCZLFEOQ@MROPI.com"	1	0
"AUBXC@yahoo.com"	0	0
"NSXUCBGRTTZ@QNHUL.com"	1	0
"OMPUBXCBNZRR@JZFRXDL.com"	1	1
"LVNMOQPFPLXR@DFMIUZME.com"	1	1
"KIWRXASCTA@OFIFBJJM.com"	1	1
"ECVKJXECWMIE@JNBIP.com"	1	1
"IJGLYVQFPLDS@NYJBY.com"	0	1
"PTEMBZHZRF@HRZQLS.com"	0	0
"RWDYZSFBBCK@IXCFAK.com"	1	1
"RHWLXTBgardening@myshopify.com"	0	1
"XOJQ@yahoo.com"	1	0
"HYNNTXSUHXFI@DTIPBZA.com"	1	0
"KLADUXIRGHX@LVZNRBBA.com"	0	1
"QEMUQXLNCQYD@GWULEOPL.com"	1	1
"BMUPRNOGlandscapeengineer@yahoo.com"	0	1
"NECBAHNLJCB@PHXKUX.com"	1	0
"XGRNKGPQPHP@UGNXXQ.com"	1	0
"VCUAOEFVSPIE@QFPBPD.com"	0	1
"XFKUMUZBRNSI@EFKVU.com"	1	1
"DUAPAGGGWKUY@ZOARCZQO.com"	0	1
"LRRHFCGHFFAV@HZQPB.com"	1	1
"DFAEAVERVG@NQJGQCH.com"	1	1
"OUXQIUZTEO@YHSLICVK.com"	1	1
"MTUJQOPOYNP@XCXSQR.com"	1	1
"UDLOBURTEKBD@YFZVH.com"	0	0
"HMTZOPBIRPHA@YECUJ.com"	1	0
"IOIBUWDRZRP@USESLX.com"	1	0
"PLVWLONLWJA@JFYXRUZ.com"	0	0
"SJTBJVVOUT@LJBKIBYZ.com"	0	1
"GZRVQRVCAMTW@HTCNANY.com"	1	0
"KWORXCVTSFN@VUATT.com"	1	0
"OWMGMEACWVNL@QNJSH.com"	1	1
"XSSHOVYWCV@IKWKWS.com"	1	1
"MDJZIMGNANW@ASSZKJVH.com"	0	1
"LOEQWQETYN@TYBUBQ.com"	1	0
"YTKOQXMYKRHY@AVJFDYKG.com"	1	1
"EIRPJQLSPPJ@BKNDTCW.com"	1	0
"HUAIWQRATH@VINABCOJ.com"	1	1
"ZQLAHKSD.ZQLAHKSD@supplyLMX.net"	1	0
"OBCUGNIROVA@CRBFRW.com"	1	1
"MLWMBZBILEQ@BEIZTX.com"	1	0
"OJGSSNRATZY@HIQFA.com"	1	1
"CYBYFKHHPBY@XPEZEJU.com"	0	1
"BWZDEWSCJS@WQHTEMQ.com"	1	0
"YCKPPTCLLX@KXEFVU.com"	0	0
"HIVCDXYORNAY@VVWTA.com"	1	1
"XASPFXRWIIP@IZLVERKK.com"	1	1
"NVEFGRAOHW@ROLDOP.com"	0	1
"LQLXBGXEFLB@PBHFC.com"	1	0
"RPALBZIHQN@DKXTGPWW.com"	1	0
"FZHQBXZBOTWP@PUATPNEW.com"	1	0
"ZHPVCSMJKKH@LQAWC.com"	1	1
"UQPJVEVXPVD@EHBXNJ.com"	1	1
"CGQXJPOBOJVQ@TFEJH.com"	0	1
"AWPGSXWALK@WUZQLVPR.com"	1	0
"outdoorOTJHAM@gmail.com"	0	0
"JWMGLLTWFWV@GUKMH.com"	0	0
"NZNUOKHSTCNF@MBCZVT.com"	0	0
"JNTRYUCHME@YZZBPPNT.com"	0	1
"SZAQOQYOPKJ@TIHHKTV.com"	0	1
"outdoorlivingLCFLAR@yahoo.com"	0	0
"YOWOEZFOVYQI@FYFNM.com"	1	1
"ZWMXYOOTFR@VCKLHWP.com"	1	1
"DDLVTMTCHKVD@XYPRAU.com"	0	1
"AANSNQASQGDB@BDRIZJMG.com"	1	1
"LTETKIHEKO@MBMKZJB.com"	0	0
"RFGHGRRJXCHD@GKFEHR.com"	1	1
"PUQEEBDXMAZY@WTEECLEO.com"	1	1
"COLEKETBYDFE@IFQERNM.com"	1	1
"FVDUWUJWTUBH@NMMAHMB.com"	1	1
"KAVFNTJZKMG@POCQARSB.com"	1	1
"PVULTUVQWTT@RUIOPDIO.com"	1	1
"CCUZIFXLYM@BBLDHC.com"	1	1
"EGLFMMVTRL@GPQAPT.com"	1	1
"JJONAHYIBDV@QNDZGWEL.com"	1	0
"MPUOSNGITLZK@GCOSFSDT.com"	1	1
"KIYQVFWKWUQS@OSMQR.com"	0	1
"QSZVWRPKUW@QJGYIFH.com"	1	0
"EEELKHQPMXS@OLHWYUTS.com"	1	1
"VTUYETIMPCSQ@ARIVHX.com"	1	1
"VSKMZTOMHZPV@KYORYL.com"	1	1
"WYMKHNLQJI@PUKUCEF.com"	1	0
"OTUMGPCSVLPX@HZGRV.com"	1	0
"JGZGSXSOFOV@UWIGP.com"	1	0
"VODRVMJYECO@FEVZWWKT.com"	0	0
"FAAJMWGZFY@EVKTR.com"	1	0
"outdoorWCJDBIS@yahoo.com"	0	0
"SNEWTKITDFM@DZGSS.com"	1	0
"GWDYZXUSLECQ@PEXOO.com"	1	1
"XDYILRFYSIS@EGTACH.com"	1	1
"outdoorLMAJVIIP@yahoo.com"	0	1
"FMRVKMQMAQ@ZZNWB.com"	1	0
"QGRLIPWGYX@DXGHZI.com"	1	0
"ZLWVHJXQECHT@RLRACG.com"	1	0
"JPHFEZBOIY@BXFDMXB.com"	1	0
"UWBTYBYIBDY@NDSOHGY.com"	1	0
"UYYNWQHERAJY@QHDDRM.com"	1	0
"AAPUYTVBLWXZ@RKGQUA.com"	1	0
"ILLRVYFQZJ@BJXYCRZU.com"	1	1
"KKWBAJDYUY@LTDGLLXN.com"	1	1
"LTWJXHJGENR@UTMKJLQF.com"	0	0
"EZTNGPWRFN@AKSOCV.com"	1	1
"FYUHQOOWANCA@PZFUYM.com"	1	0
"IXZBSYGLGZD@RMMML.com"	0	1
"DGGGSGOZWVG@ODHAS.com"	1	0
"WJDGUNGPRSJM@UAXDFNSY.com"	1	1
"CHJPWLAFWO@GMXVMKHK.com"	1	0
"EHALLHARSBY@MTVKDRYN.com"	1	1
"WCQZVWXVJJY@ZUZFOJLG.com"	1	1
"IFNGYKGJOQY@XJZJH.com"	1	1
"TEKLGWCUHKPB@YEXLHZM.com"	1	0
"BKVQICBUMYIE@PBCYZH.com"	1	1
"VRYXVKGESTX@PBCLDNU.com"	1	0
"EESKDKSAES@QTKDQ.com"	1	1
"DDUDXQUGTJL@FBZSHB.com"	0	0
"HGKJJHPE536@yahoo.com"	1	0
"HGXDOODPGDWH@ALLWUI.com"	1	0
"ZXJRLTERWLGZ@JNFYCN.com"	0	1
"GOZQSXFXQS@QOIOZXY.com"	1	0
"DTENWOGLRYR@OSGRIII.com"	1	0
"LYJERDLQWL@TPZEXK.com"	1	1
"ZVKMMDBBBM@VKUERJ.com"	1	1
"GVSZEIFRTHP@NFUBABX.com"	1	0
"ERQSFVNTXT@RVQGIXY.com"	1	1
"LEU.LEU@gmail.com"	1	0
"YEYJRXXRZB@PNVMKSE.com"	1	0
"AUISKIKZEGH@FTEEDPI.com"	1	0
"nurseryMDCR@gmail.com"	0	1
"WLMVUHJUYN@VPTMHI.com"	1	1
"QETNQDSPNSW@CFACP.com"	1	0
"UFDPZJMIAAG@VZRDYDKZ.com"	1	0
"UJFEWLKUYO@EBEMUGE.com"	1	0
"CGXYZBCPWWH@SDCNWPB.com"	1	1
"HNCTUVIYAEP@VUBWAMVC.com"	1	1
"NTUHGZGUEST@PALWY.com"	1	1
"FLNZHXSRTN@XTSSD.com"	1	1
"JVYLQUYDZXA@XDAJZV.com"	0	1
"KPQIWPSDJKI@ISQZG.com"	1	1
"DDGXFFQIZEX@OINQJJU.com"	1	1
"RDBLYXJCNA@AEJPBYWO.com"	1	1
"JIHHIYEHZTVX@JCHPV.com"	0	0
"UMKBZQNAYKJB@FUMGT.com"	0	1
"PXDOHBZVMVFG@IIDIMAPC.com"	1	1
"DEBFXENQSESL@HCSMCYF.com"	1	0
"EKCXCQEFCT@EYLTZLR.com"	1	0
"CETBVXUDMQT@JAXHKO.com"	1	1
"TUITYULKRRF@JSABY.com"	1	1
"HSWXYDWRTB@LFJFTUZU.com"	1	1
"IFCKHSVEOHTQ@PSVFFPM.com"	1	1
"FZSHAAHDDVLH@DCEROYZ.com"	1	0
"LNQLKIHUMQAH@PFUIPIL.com"	1	1
"EJROOZCDLZNN@HGUWLLKP.com"	0	0
"CZAPRPOBTPKK@FMWHSJ.com"	1	1
"LOIYJBWOEC@XASPGE.com"	1	0
"BWJGJCFIIEJ@MFBJVXOS.com"	1	1
"RLKAPAMTKQZQ@BUGBXZIV.com"	1	1
"BNZJYOPASS@IEOYJ.com"	1	0
"WDTDEQAVLSTA@TKRHMF.com"	1	0
"HYPQZEMFSVS@NUOZFXT.com"	0	1
"POKVOUPCRFBW@GOROMSX.com"	0	1
"TIQWPDHLKLD@KUTHDKMY.com"	0	1
"CRAQXVGVMS@FRQJXK.com"	1	1
"HBLKBYWYIVO@OHSYMK.com"	1	1
"ETOMFBBYCQB@MZHKCCHD.com"	1	0
"PGEJHXAEHHJG@MUBIHTYP.com"	1	1
"YNXUURKQHD@FGXYYJOM.com"	1	1
"WROINRNOZC@NPNKWTOE.com"	1	1
"EQKATRKHCOL@IPFEWRJ.com"	1	1
"MYRGKEGBIM@OOGWQ.com"	1	1
"ZSTVHJJION@BADWSFVE.com"	1	1
"LQOPBCIMUCOF@EJIEQV.com"	1	0
"UITRUTSMRVW@JWEIF.com"	1	1
"MEAIHKXAPO@FDUPTQM.com"	1	0
"NFOZMLEVJK@OPDJHO.com"	1	1
"XMZZVJKVYIDY@HEYKWTXH.com"	1	0
"MDAAVTLCBC@NRRXPF.com"	1	0
"RNBIJECOVFZB@HDFOK.com"	1	1
"YADRMTOZES@VRBJH.com"	0	0
"DKPMSSSYUCV@HLFJBUKB.com"	1	0
"NGZTJLLRZIAH@XQCSN.com"	1	1
"SNULPSOEPM@TELNBDER.com"	1	0
"ORVUGXGPBE@RGJXDK.com"	1	0
"EGETZRLNKW@NMXBV.com"	1	0
"LTBKPAIYRSXK@NXVLUMVC.com"	1	1
"KNMSJISFUQMM@PHFOW.com"	1	0
"HOASVNIMEOLY@LPDLTRV.com"	1	0
"OZHWXVLIAHY@TNYGAGHQ.com"	1	1
"JLNYVDXPCKGV@OFOUMLHI.com"	0	0
"DMRVBJILCH@CTTDOS.com"	1	0
"KGSECEKRJESO@HWQKEEE.com"	1	0
"BIIPYACLLW@VHJWQQR.com"	1	1
"QFEJNPUXPXN@SDLATIAF.com"	1	0
"FBPGQIDMSIR@CHCARDB.com"	1	0
"NUHOOJESOSB@QRHCS.com"	1	1
"ECNEUJOYDTT@IYSZWNZE.com"	1	0
"RYLQYPTPQFFV@MKTNVOC.com"	1	1
"NMZDLJKSXMI@SNZGJTAV.com"	1	0
"ZEZVUSURGKWZ@XYASSXF.com"	0	1
"QZYAOFJNDKUP@ZGSAB.com"	1	0
"BKONCGWTWMB@IKHTXZU.com"	1	0
"WCUTUVKICJ@ZWFNZQWZ.com"	0	0
"CFGSFJGJODL@YJPOHLR.com"	1	0
"PKTCJQJLYH@RELDI.com"	0	0
"ERNLDDMFZPE@JTZETUK.com"	1	0
"RRPQJIHDNX@LBXSD.com"	1	0
"QBWYDHSMMVHB@EQUQZSK.com"	0	0
"IGMCYPLSLI@ZKBMJG.com"	1	1
"LHZWBWKSBAO@IURNT.com"	1	0
"GFAYPTUIOQ@XGLPQON.com"	1	0
"PMMYFZHFMNUX@EJCNJ.com"	1	1
"PMJXURHGKAFH@AQTKHM.com"	1	0
"OWALDIOLHRB@BCWYHK.com"	1	1
"ZCPQHRIUEHUE@NARAQ.com"	1	1
"HLKCPAZIET@KCKSTG.com"	1	0
"VDDLWYNSXV@VEXCSLCJ.com"	0	0
"UULLOAPPUHCJ@JOKYY.com"	1	0
"AMTDAAMNLRI@WHWJJINM.com"	1	0
"HZCBLFTGKJL@KPJDEBRV.com"	1	0
"TGKOICXCCCWI@DIFGS.com"	1	1
"PCNFDKJXQIS@LQPSBEHY.com"	1	0
"ACGPPOJZEIRH@JMHOD.com"	1	0
"TXQEWCGDYH@OKHDJ.com"	0	1
"JXPHVFAEFOI@YPXQHGO.com"	1	0
"AMXMGSDGKECS@HVNHH.com"	0	0
"BBMDVPSXZVJS@HUIEK.com"	0	0
"DYORAXVLNXJ@TTUROCM.com"	1	1
"NHNHFEOJGR@NZGHD.com"	1	0
"PLZIXCTAVT@HGXVNMX.com"	1	1
"KLEDSPIASL@DHICQPRJ.com"	1	1
"TJRFSQNUYSH@GDMYCU.com"	1	0
"IDDRUIQMNAY@EKUDIUKE.com"	1	0
"TNYFPVAGGYL@FHRBWVFG.com"	0	1
"RMXSUUIXMNY@ZEMNG.com"	1	0
"UJKTCHAWGB@LEYKC.com"	1	1
"ONBKVTXNFOXO@VPSJUCRR.com"	1	1
"BZQHQXMVOE@XWUZJDS.com"	0	1
"NXVCIFKJKSK@STYOWGX.com"	1	1
"YKFVQWVPKDND@WVGSH.com"	1	1
"IYHVHNOSDE@FMTHVI.com"	1	1
"LATZCCWCLLV@QUMEISML.com"	1	0
"NZYQGDZJMIJT@MLNBQYN.com"	1	1
"QXSHKCTFJHU@LOTGJLSJ.com"	1	0
"OQPARPCWMT@KPAOIT.com"	1	1
"ZUHDPULWTSFH@KEOVTQK.com"	1	0
"DGXPIERAAHA@KLYDQOL.com"	1	1
"AHPELNCXVPIJ@YROIO.com"	0	0
"KHEGDIMDCH@JKEIFHX.com"	1	0
"YJOZKQZDQJWX@NFWKOJEG.com"	1	1
